StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0_Consent,GenViciousEval,LSViciousEval,SEAVicious,GenVirtuousEval,LSVirtuousEval,SEAVirtuousEval,GenRecklessEval,LSRecklessEval,SEARecklessEval,GenCourageousEval,LSCourageousEval,SEACourageousEval,GenSelfishEval,LSSelfishEval,SEASelfishEval,GenGenerousEval,LSGenerousEval,SEAGenerousEval,GenCruelEval,LSCruelEval,SEACruelEval,GenCompassionateEval,LSCompassionateEval,SEACompassionateEval,GenRudeEval,LSRudeEval,SEARudeEval,GenFriendlyEval,LSFriendlyEval,SEAFriendlyEval,GenManipulativeEval,LSManipulativeEval,SEAManipulativeEval,GenHonestEval,LSHonestEval,SEAHonestEval,M_GenViciousEval,M_LSViciousEval,M_SEAViciousEval,M_GenVirtuousEval,M_LSVirtuousEval,M_SEAVirtuousEval,M_GenRecklessEval,M_LSRecklessEval,M_SEARecklessEval,M_GenCourageousEval,M_LSCourageousEval,M_SEACourageousEval,M_GenSelfishEval,M_LSSelfishEval,M_SEASelfishEval,M_GenGenerousEval,M_LSGenerousEval,M_SEAGenerousEval,M_GenCruelEval,M_LSCruelEval,M_SEACruelEval,M_GenCompassionateEv,M_LSCompassionateEva,M_SEACompassionateEv,M_GenRudeEval,M_LSRudeEval,M_SEARudeEval,M_GenFriendlyEval,M_LSFriendlyEval,M_SEAFriendlyEval,M_GenManipulativeEva,M_LSManipulativeEval,M_SEAManipulativeEva,M_GenHonestEval,M_LSHonestEval,M_SEAHonestEval,QuantSliderEval_1,M_QuantSliderEval_1,CharacterSpeakerEval,NaturallyGoodBadEval,Q44,Q45,Q46
2020-04-24 16:02:22,2020-04-24 16:03:22,0,108.237.224.218,100,59,1,2020-04-24 16:03:23,R_1MKdXuhxMxh15p8,,,,,30.6475067138671875,-95.5792999267578125,anonymous,EN,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,1,1,2,english,31
2020-04-24 16:02:13,2020-04-24 16:03:23,0,73.242.99.223,100,69,1,2020-04-24 16:03:23,R_3inkgaDgWgsxMIr,,,,,45.1692047119140625,-93.2487030029296875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,100,2,2,2,English,41
2020-04-24 16:02:15,2020-04-24 16:03:23,0,73.109.57.54,100,68,1,2020-04-24 16:03:24,R_1rx02GuuuqJmOsu,,,,,47.110107421875,-122.77500152587890625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,44,1,1,1,English,25
2020-04-24 16:02:16,2020-04-24 16:03:24,0,69.14.248.162,100,68,1,2020-04-24 16:03:24,R_2dNlGLyK6UImOaF,,,,,42.59820556640625,-83.11669921875,anonymous,EN,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,2,1,1,English,21
2020-04-24 16:02:17,2020-04-24 16:03:26,0,73.120.104.198,100,68,1,2020-04-24 16:03:26,R_1mJchv7pjGHVXJP,,,,,36.12939453125,-82.865997314453125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,2,2,English,33
2020-04-24 16:02:38,2020-04-24 16:03:28,0,73.214.106.101,100,49,1,2020-04-24 16:03:28,R_UKKjIpSTQvuTEVX,,,,,40.4759979248046875,-79.73549652099609375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,English,26
2020-04-24 16:02:35,2020-04-24 16:03:30,0,75.97.182.106,100,55,1,2020-04-24 16:03:30,R_22yUyPrrhZjubwR,,,,,41.0106048583984375,-76.4441986083984375,anonymous,EN,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,English,44
2020-04-24 16:02:40,2020-04-24 16:03:32,0,76.203.168.70,100,52,1,2020-04-24 16:03:33,R_A7HoMe6NEiLWjMB,,,,,25.7259063720703125,-80.40360260009765625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,60,2,1,2,ENGLISH,41
2020-04-24 16:02:20,2020-04-24 16:03:36,0,71.182.225.191,100,76,1,2020-04-24 16:03:36,R_81GU1uKsPAFg8ZX,,,,,40.53790283203125,-79.964202880859375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,67,2,1,1,English,56
2020-04-24 16:02:37,2020-04-24 16:03:43,0,207.255.150.249,100,66,1,2020-04-24 16:03:43,R_1rJRdRrw7Q4o2Wg,,,,,40.9640960693359375,-78.52610015869140625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,95,1,1,1,english,56
2020-04-24 16:02:47,2020-04-24 16:03:44,0,98.219.160.132,100,57,1,2020-04-24 16:03:44,R_28NYcVKi6nEK0TR,,,,,40.5908050537109375,-80.31549835205078125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,1,1,English,27
2020-04-24 16:03:09,2020-04-24 16:03:52,0,97.95.113.4,100,43,1,2020-04-24 16:03:52,R_10GgpIa5vH2HaMO,,,,,43.1772003173828125,-85.2472991943359375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,English,39
2020-04-24 16:02:33,2020-04-24 16:03:53,0,67.183.160.183,100,79,1,2020-04-24 16:03:53,R_3p57iK5YuYD3ui3,,,,,47.3600006103515625,-122.60150146484375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,english,49
2020-04-24 16:02:35,2020-04-24 16:03:53,0,72.77.81.140,100,77,1,2020-04-24 16:03:54,R_3L6Zf9UlDVmNPGu,,,,,40.5019989013671875,-79.91429901123046875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,1,1,1,English,38
2020-04-24 16:02:57,2020-04-24 16:03:54,0,160.2.183.207,100,57,1,2020-04-24 16:03:54,R_zeRYjJijvsQvRvj,,,,,43.6342010498046875,-116.34100341796875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,100,1,1,1,english,18
2020-04-24 16:02:50,2020-04-24 16:03:54,0,76.192.115.140,100,63,1,2020-04-24 16:03:54,R_2afYwb1SbUZgsSU,,,,,28.5503997802734375,-81.18329620361328125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,71,1,1,1,English,25
2020-04-24 16:03:13,2020-04-24 16:03:56,0,97.124.154.61,100,42,1,2020-04-24 16:03:56,R_29hUFQJtGuLUKHN,,,,,33.608001708984375,-111.723297119140625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,1,1,1,english,27
2020-04-24 16:02:25,2020-04-24 16:03:57,0,142.197.185.177,100,92,1,2020-04-24 16:03:58,R_1eVmSbMsFPAxstk,,,,,28.52740478515625,-81.6011962890625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,"English ",42
2020-04-24 16:02:56,2020-04-24 16:03:58,0,96.236.222.161,100,61,1,2020-04-24 16:03:58,R_4OVTcMombPiChbP,,,,,40.368499755859375,-80.0503997802734375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,1,1,1,english,24
2020-04-24 16:02:33,2020-04-24 16:04:00,0,41.80.92.108,100,87,1,2020-04-24 16:04:00,R_cGPdyJw8ep02FTH,,,,,-1.2841033935546875,36.8155059814453125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,81,1,2,1,"English ",32
2020-04-24 16:02:32,2020-04-24 16:04:01,0,104.131.176.234,100,89,1,2020-04-24 16:04:02,R_22Dmbwvhr3l7fTc,,,,,40.836395263671875,-74.14029693603515625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,1,2,English,30
2020-04-24 16:02:27,2020-04-24 16:04:10,0,173.63.61.15,100,102,1,2020-04-24 16:04:10,R_2yq3aGV7jh0i54U,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,1,1,2,english,56
2020-04-24 16:02:53,2020-04-24 16:04:13,0,205.144.211.64,100,80,1,2020-04-24 16:04:14,R_BPu9mRyYxuyT9Xr,,,,,34.7666015625,-84.98480224609375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,1,1,2,English,41
2020-04-24 16:02:12,2020-04-24 16:04:23,0,24.113.232.44,100,130,1,2020-04-24 16:04:23,R_3j6XzcOOQmbmJsE,,,,,47.475799560546875,-122.6421966552734375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,1,english,48
2020-04-24 16:03:37,2020-04-24 16:04:23,0,68.174.193.67,100,45,1,2020-04-24 16:04:23,R_TsWVIqyRlFiEATf,,,,,40.7512969970703125,-73.88300323486328125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,English,25
2020-04-24 16:02:57,2020-04-24 16:04:24,0,128.92.70.35,100,86,1,2020-04-24 16:04:24,R_3kh7lhg7rfnJ9Ks,,,,,34.8950042724609375,-81.92040252685546875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,1,1,English,32
2020-04-24 16:03:04,2020-04-24 16:04:25,0,104.5.188.224,100,80,1,2020-04-24 16:04:25,R_1LO3tpw4OW0KRfH,,,,,30.67010498046875,-81.46579742431640625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,20,1,1,2,english,39
2020-04-24 16:02:22,2020-04-24 16:04:26,0,35.139.114.80,100,124,1,2020-04-24 16:04:27,R_1QabjSpqCCl2pmR,,,,,28.0164031982421875,-81.9553985595703125,anonymous,EN,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,3,1,1,english,36
2020-04-24 16:02:30,2020-04-24 16:04:27,0,71.93.126.181,100,117,1,2020-04-24 16:04:28,R_Z8jz98u39KicuSB,,,,,34.1230010986328125,-117.8988037109375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,1,1,English,35
2020-04-24 16:03:02,2020-04-24 16:04:27,0,75.110.239.159,100,84,1,2020-04-24 16:04:28,R_3KSBEnYd81vvVMx,,,,,38.4203033447265625,-81.99469757080078125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,1,1,1,English,31
2020-04-24 16:03:45,2020-04-24 16:04:27,0,68.12.27.188,100,42,1,2020-04-24 16:04:28,R_24vNiBeakaIim4V,,,,,35.4884033203125,-97.5706024169921875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,English,24
2020-04-24 16:02:44,2020-04-24 16:04:29,0,73.90.98.71,100,105,1,2020-04-24 16:04:30,R_1IQ1s5oohTCSjO9,,,,,38.7373046875,-121.23220062255859375,anonymous,EN,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,2,1,1,ENGLISH,18
2020-04-24 16:03:08,2020-04-24 16:04:34,0,24.129.96.251,100,86,1,2020-04-24 16:04:35,R_2ePerisnKHjlaIC,,,,,30.351104736328125,-81.5059967041015625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,2,1,English,37
2020-04-24 16:03:17,2020-04-24 16:04:35,0,75.162.204.16,100,77,1,2020-04-24 16:04:35,R_3O1816sxGs2Enbb,,,,,41.6009979248046875,-93.6728973388671875,anonymous,EN,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,English,46
2020-04-24 16:02:39,2020-04-24 16:04:36,0,65.249.162.165,100,116,1,2020-04-24 16:04:36,R_3G0vJTd8fJlYUpA,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,93,2,1,2,ENGLISH,62
2020-04-24 16:03:12,2020-04-24 16:04:37,0,99.42.41.84,100,84,1,2020-04-24 16:04:37,R_3e1VAdMO2zcsnCi,,,,,30.0735931396484375,-95.62030029296875,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,English,35
2020-04-24 16:02:58,2020-04-24 16:04:37,0,67.85.220.169,100,98,1,2020-04-24 16:04:37,R_XiEbK1Gu0Hyku7D,,,,,40.5977935791015625,-74.00009918212890625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,1,1,Chinese,28
2020-04-24 16:03:12,2020-04-24 16:04:37,0,107.174.70.25,100,84,1,2020-04-24 16:04:38,R_4VqAC13fkvnQmjf,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,1,1,1,english,28
2020-04-24 16:03:29,2020-04-24 16:04:38,0,100.12.26.44,100,68,1,2020-04-24 16:04:38,R_1dprTXKNR2Kyi1D,,,,,40.7234954833984375,-73.7021026611328125,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,English,34
2020-04-24 16:02:46,2020-04-24 16:04:38,0,67.11.219.222,100,112,1,2020-04-24 16:04:38,R_2uDQDJ4jTaMwzAc,,,,,29.5825958251953125,-98.4091033935546875,anonymous,EN,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,1,1,English,34
